Major Feature,Sub-Feature (CRUD/Function),Description,Status,Priority,Responsible Person
Document Management,Upload Document (Create),Upload files like ID cards, contracts, certificates,Completed,-,HR Team
Document Management,View Document (Read),Display list and document details,Completed,-,HR Team
Document Management,Update Document (Update),Edit document information,Completed,-,HR Team
Document Management,Delete Document (Delete),Delete document,Completed,-,HR Team
Document Management,Document Versioning (Create Version),Store multiple document versions,Not Completed,P2,HR Team
Document Management,View Version (Read),Display version,Not Completed,P2,HR Team
Document Management,Update Version (Update),Edit version,Not Completed,P2,HR Team
Document Management,Delete Version (Delete),Delete version,Not Completed,P2,HR Team
Timekeeping Management,Configure Shift (Create/Update),Set up shift settings,Completed,-,HR Team
Timekeeping Management,View Shift (Read),Display shifts,Completed,-,HR Team
Timekeeping Management,Create Leave Request (Create),Create leave request,Completed,-,HR Team
Timekeeping Management,View Leave Request (Read),Display request,Completed,-,HR Team
Timekeeping Management,Update Leave Request (Update),Edit request,Completed,-,HR Team
Timekeeping Management,Delete Leave Request (Delete),Delete request,Completed,-,HR Team
Timekeeping Management,Create Business Trip Request (Create),Create business trip request,Completed,-,HR Team
Timekeeping Management,View Business Trip Request (Read),Display request,Completed,-,HR Team
Timekeeping Management,Update Business Trip Request (Update),Edit request,Completed,-,HR Team
Timekeeping Management,Delete Business Trip Request (Delete),Delete request,Completed,-,HR Team
Timekeeping Management,Create Overtime Request (Create),Create overtime request,Completed,-,HR Team
Timekeeping Management,View Overtime Request (Read),Display request,Completed,-,HR Team
Timekeeping Management,Update Overtime Request (Update),Edit request,Completed,-,HR Team
Timekeeping Management,Delete Overtime Request (Delete),Delete request,Completed,-,HR Team
Timekeeping Management,Approve Requests (Workflow),Multi-level approval,Completed (UI integration needed),-,HR Team
Payroll Management,Define Salary Rules (Create/Update),Set up salary rules,Completed (missing formula builder),-,Accountant Team
Payroll Management,View Salary Rules (Read),Display salary,Completed,-,Accountant Team
Payroll Management,Create Salary Advance (Create),Create salary advance,Completed,-,Accountant Team
Payroll Management,View Salary Advance (Read),Display advance,Completed,-,Accountant Team
Payroll Management,Update Salary Advance (Update),Edit advance,Completed,-,Accountant Team
Payroll Management,Delete Salary Advance (Delete),Delete advance,Completed,-,Accountant Team
Payroll Management,Finalize Payroll and Generate Payslip (Create),Generate payslip PDF,Completed,-,Accountant Team
Payroll Management,View Payslip (Read),Display payslip,Completed,-,Accountant Team
Payroll Management,Send Payslip Email (Send),Send bulk emails,Completed,-,Accountant Team
Payroll Management,Custom Salary Formula Builder (Create Formula),Create salary formulas like Excel,Not Completed,P2,Accountant Team
Payroll Management,View Salary Formula (Read),Display formula,Not Completed,P2,Accountant Team
Payroll Management,Update Salary Formula (Update),Edit formula,Not Completed,P2,Accountant Team
Payroll Management,Delete Salary Formula (Delete),Delete formula,Not Completed,P2,Accountant Team
Notifications and Statistics,Contract Reminder (Create/Read),Notify contract expiration,Completed,-,Dev Team
Notifications and Statistics,Request Notification (Create/Read),Notify status changes,Completed,-,Dev Team
Notifications and Statistics,Birthday Reminder (Create/Read),Notify birthdays,Completed,-,Dev Team
Notifications and Statistics,Anniversary Reminder (Create/Read),Notify work anniversaries,Completed,-,Dev Team
Notifications and Statistics,Attendance Warning (Create/Read),Warn late arrivals,Completed,-,Dev Team
Reporting System,Create Employee Turnover Report (Create),Turnover rate,Completed,-,Dev Team
Reporting System,View Employee Turnover Report (Read),Display report,Completed,-,Dev Team
Reporting System,Create Attendance Report (Create),Total standard/actual hours,Completed,-,Dev Team
Reporting System,View Attendance Report (Read),Display report,Completed,-,Dev Team
Reporting System,Create Payroll Cost Report (Create),Total payroll, insurance,Completed,-,Dev Team
Reporting System,View Payroll Cost Report (Read),Display report,Completed,-,Dev Team
Reporting System,Create Employee Structure Report (Create),By department, contract,Completed,-,Dev Team
Reporting System,View Employee Structure Report (Read),Display report,Completed,-,Dev Team
Reporting System,Create Tax Summary Report (Create),Annual tax summary,Completed,-,Dev Team
Reporting System,View Tax Summary Report (Read),Display report,Completed,-,Dev Team
Reporting System,Create Seniority and Age Report (Create),Distribution by age/seniority,Not Completed,P1,Dev Team
Reporting System,View Seniority and Age Report (Read),Display report,Not Completed,P1,Dev Team
Reporting System,Update Seniority and Age Report (Update),Edit report,Not Completed,P1,Dev Team
Reporting System,Delete Seniority and Age Report (Delete),Delete report,Not Completed,P1,Dev Team
Reporting System,Create Qualification/Skill Report (Create),Ratio by qualification,Not Completed,P1,Dev Team
Reporting System,View Qualification/Skill Report (Read),Display report,Not Completed,P1,Dev Team
Reporting System,Update Qualification/Skill Report (Update),Edit report,Not Completed,P1,Dev Team
Reporting System,Delete Qualification/Skill Report (Delete),Delete report,Not Completed,P1,Dev Team
Reporting System,Create Leave Status Report (Create),Days used/remaining,Not Completed,P1,Dev Team
Reporting System,View Leave Status Report (Read),Display report,Not Completed,P1,Dev Team
Reporting System,Update Leave Status Report (Update),Edit report,Not Completed,P1,Dev Team
Reporting System,Delete Leave Status Report (Delete),Delete report,Not Completed,P1,Dev Team
Reporting System,Create Average Income Report (Create),Average salary by position,Not Completed,P1,Dev Team
Reporting System,View Average Income Report (Read),Display report,Not Completed,P1,Dev Team
Reporting System,Update Average Income Report (Update),Edit report,Not Completed,P1,Dev Team
Reporting System,Delete Average Income Report (Delete),Delete report,Not Completed,P1,Dev Team
Reporting System,Create Late/Early Leave Report (Create),List of violations,Partially Completed,P1,Dev Team
Reporting System,View Late/Early Leave Report (Read),Display report,Partially Completed,P1,Dev Team
Reporting System,Update Late/Early Leave Report (Update),Edit report,Partially Completed,P1,Dev Team
Reporting System,Delete Late/Early Leave Report (Delete),Delete report,Partially Completed,P1,Dev Team
Reporting System,Create Absence Report (Create),Ratio of excused/unexcused absences,Partially Completed,P1,Dev Team
Reporting System,View Absence Report (Read),Display report,Partially Completed,P1,Dev Team
Reporting System,Update Absence Report (Update),Edit report,Partially Completed,P1,Dev Team
Reporting System,Delete Absence Report (Delete),Delete report,Partially Completed,P1,Dev Team
Reporting System,Create Overtime Hours Report (Create),Total OT hours,Partially Completed,P1,Dev Team
Reporting System,View Overtime Hours Report (Read),Display report,Partially Completed,P1,Dev Team
